1550,0.83543,0.028,0.002
3100,0.83562,0.111,0.043
4650,0.81321,0.176,0.072
6200,0.79484,0.2,0.073
7750,0.76092,0.224,0.095
9300,0.73574,0.231,0.104
10850,0.72701,0.24,0.105
12400,0.70503,0.242,0.099
13950,0.69896,0.25,0.103
15500,0.66571,0.256,0.117
17050,0.67955,0.257,0.116
18600,0.65886,0.262,0.123
20150,0.69129,0.265,0.129
21700,0.65481,0.266,0.12
23250,0.64092,0.269,0.119
24800,0.63701,0.272,0.121
26350,0.64122,0.274,0.107
27900,0.643,0.272,0.129
29450,0.64084,0.276,0.126
31000,0.62311,0.278,0.124
32550,0.62531,0.273,0.129
34100,0.63072,0.282,0.123
35650,0.63086,0.277,0.125
37200,0.63987,0.277,0.126
38750,0.61428,0.284,0.134
40300,0.62656,0.281,0.119
41850,0.62501,0.285,0.129
43400,0.61755,0.286,0.133
44950,0.62867,0.282,0.127
46500,0.62042,0.286,0.13
